Source Account,Description,Identifier,Base Current Units,Base Market Value
337049254,VANGUARD VALUE ETF,922908744,39252.00,4109291.88
337049280,VANGUARD EXTENDED MARKET ETF,922908652,10554.00,1153341.12
337049294,VANGUARD FTSE ALL WORLD EX US ETF,922042775,35132.00,1904154.40
337109136,AT&T INC,00206REJ7,179000.00,180680.81
337109136,AT&T INC,00206REM0,199000.00,197093.58
337109136,ABBOTT LABORATORIES,002824AZ3,161000.00,159233.83
337109136,ABBVIE INC,00287YAL3,202000.00,198860.92
337109136,ACTAVIS FUNDING SCS,00507UAP6,199000.00,199656.70
337109136,AIR LEASE CORP,00912XAV6,175000.00,168255.50
337109136,AMERICAN EXPRESS CO,025816BG3,179000.00,178727.92
337109136,ANHEUSER-BUSCH INBEV FINANCE INC,035242AL0,197000.00,197447.19
337109136,APPLE INC,037833CS7,204000.00,201394.92
337109136,BACCT 141 A,05522RCQ9,401000.00,402158.89
337109136,BP CAPITAL MARKETS PLC,05565QCG1,177000.00,177125.67
337109136,BANK OF AMERICA CORP,06051GFU8,191000.00,196395.75
337109136,CVS HEALTH CORP,126650CJ7,202000.00,201765.68
337109136,CAPITAL ONE FINANCIAL CORP,14040HAY1,191000.00,201413.32
337109136,COMET 166 A,14041NFH9,304000.00,301206.24
337109136,CITIGROUP INC,172967LP4,202000.00,198046.86
337109136,DOW CHEMICAL CO,260543BX0,164000.00,176032.68
337109136,ECOPETROL SA,279158AC3,159000.00,170925.00
337109136,FH G08775,3128MJ2H2,408324.95,419357.89
337109136,GOLDMAN SACHS GROUP INC,38141GWM2,206000.00,200856.18
337109136,HEALTH CARE REIT INC,42217KBF2,196000.00,197820.84
337109136,HEWLETT PACKARD ENTERPRISE CO,42824CAG4,154000.00,156536.38
337109136,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPM,459058FH1,146000.00,140873.94
337109136,JPMORGAN CHASE & CO,46625HJJ0,199000.00,198420.91
337109136,KROGER CO,501044DE8,173000.00,157201.64
337109136,ROYAL BANK OF CANADA,78012KZD2,179000.00,181633.09
337109136,SABINE PASS LIQUEFACTION LLC,785592AV8,180000.00,197046.00
337109136,SUMITOMO MITSUI FINANCIAL GROUP INC,86562MAJ9,174000.00,177027.60
337109136,TOYOTA MOTOR CREDIT CORP,89236TDK8,148000.00,141695.20
337109136,UNITED STATES TREASURY,9128282L3,180458.85,174265.50
337109136,UNITED STATES TREASURY,9128282R0,506000.00,479728.48
337109136,UNITED STATES TREASURY,912828B58,601000.00,597736.57
337109136,UNITED STATES TREASURY,912828J76,710000.00,689530.70
337109136,UNITED STATES TREASURY,912828L99,319000.00,311509.88
337109136,UNITED STATES TREASURY,912828N30,881000.00,863098.08
337109136,VERIZON COMMUNICATIONS INC,92343VDW1,199000.00,198808.96
337109136,WELLS FARGO & CO,949746SK8,202000.00,199879.00
337109136,WILLIAMS PARTNERS LP,96950FAJ3,198000.00,197510.94
337109136,ZIMMER HOLDINGS INC,98956PAE2,179000.00,179014.32
337109137,ABIOMED ORD,003654100,134.00,31318.48
337109137,ADOBE SYSTEM ORD,00724F101,300.00,57645.00
337109137,ALIBABA GROUP HOLDING ADR REP 1 ORD,01609W102,341.00,60507.04
337109137,ALPHABET CL C ORD,02079K107,73.00,76791.62
337109137,AMAZON COM ORD,023135106,126.00,174664.98
337109137,AMERICAN TOWER REIT,03027X100,393.00,53538.39
337109137,AUTOMATIC DATA PROCESSING ORD,053015103,221.00,24674.65
337109137,BAXTER INTERNATIONAL ORD,071813109,385.00,25025.00
337109137,BIOGEN ORD,09062X103,128.00,40528.64
337109137,BOEING ORD,097023105,118.00,40568.40
337109137,"CHARTER COMMUNICATIONS, INC.",16119P108,147.00,52608.36
337109137,COGNIZANT TECHNOLOGY SOLUTN CL A ORD,192446102,454.00,35153.22
337109137,COSTAR GROUP ORD,22160N109,111.00,37080.66
337109137,ECOLAB ORD,278865100,283.00,36835.28
337109137,EDWARDS LIFESCIENCES ORD,28176E108,246.00,31214.94
337109137,ELECTRONIC ARTS ORD,285512109,384.00,46932.48
337109137,EXPEDIA ORD,30212P303,392.00,40305.44
337109137,FACEBOOK CL A ORD,30303M102,697.00,122957.77
337109137,FEDEX ORD,31428X106,208.00,49905.44
337109137,FIDELITY NATIONAL INFORMATN SVCS ORD,31620M106,322.00,30638.30
337109137,FISERV ORD,337738108,316.00,43810.24
337109137,FORTIVE ORD,34959J108,431.00,32023.30
337109137,HILTON WORLDWIDE HOLDINGS ORD,43300A203,463.00,37882.66
337109137,HONEYWELL INTERNATIONAL ORD,438516106,343.00,51268.21
337109137,ILLUMINA ORD,452327109,153.00,33817.59
337109137,INTERCONTINENTAL EXCHANGE ORD,45866F104,634.00,43492.40
337109137,INTUIT ORD,461202103,231.00,36816.78
337109137,MASTERCARD CL A ORD,57636Q104,434.00,72994.46
337109137,MOODYS ORD,615369105,271.00,43164.88
337109137,NETFLIX ORD,64110L106,152.00,39208.40
337109137,NIKE CL B ORD,654106103,810.00,53443.80
337109137,NORTHROP GRUMMAN ORD,666807102,126.00,42517.44
337109137,NVIDIA ORD,67066G104,241.00,54955.23
337109137,PAYPAL HOLDINGS ORD,70450Y103,677.00,50964.56
337109137,THE PRICELINE GROUP ORD,741503403,68.00,121720.00
337109137,SALESFORCE.COM ORD,79466L302,959.00,104099.45
337109137,SERVICENOW ORD,81762P102,213.00,31362.12
337109137,SHERWIN WILLIAMS ORD,824348106,110.00,44405.90
337109137,THERMO FISHER SCIENTIFIC ORD,883556102,292.00,59716.92
337109137,UNION PACIFIC ORD,907818108,391.00,50298.24
